SURID	NEWS	BEAUTY	MUSIC	FITNESS	RELIGION	SCIENCE	LITERARY	SPORTS	EARLY	MORNING	DAYTIME	PRIME	EVENING	LATE	COMEDY	SOAPS	GENERAL	LEGAL	MEDICAL	MOVIES	VARIETY	NEWSSHOW	KIDS	INFO	ACTION	GAME	MVIDEO	MYSTERY	SPORT	TALK	WEIGHT	THIGHS	BUTTOCKS	HIPS	STOMACH	LEGS	WAIST	TONE	EARS	LIPS	WRISTS	HANDS	FOREHEAD	NECK	CHIN	FEET	BUST	MACS1	MACS2	MACS3	MACS4	MACS5	MACS6	MACS7	MACS8	MACS9	MACS10	MACS11	MACS12	MACS13	MACS14	MACS15	MACS16	MACS17	MACS18	MACS19	MACS20	MACS21	MACS22	MACS23	MACS24	MACS25	MACS26	MACS27	MACS28	MACS29	MACS30	MACS31	MACS32	MACS33	DIET1	DIET2	DIET3	DIET4	DIET5	DIET6	DIET7	DIET8	DIET9	DIET10	DIET11	DIET12	DIET13	DIET14	DIET15	DIET16	DIET17	DIET18	ASSESS	AGE	CLASS	ANXIETY	GOODDIET	TOTMAC	APPROVE	CONTROL	RIGID	TOTTV
199	3	6	2	2	3	1	3	3	0	0	1	1	1	0	3	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	2	2	1	0	2	0	2	1	0	0	0	1	0	0	3	0	2	2	2	2	4	1	4	1	1	1	2	1	2	1	1	4	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2	4	2	0	3	0	4	0	4	0	4	0	0	0	2	0	0	4	4	4	4	16	29	50	8	15	27	3
200	2	6	5	2	1	1	0	1	0	0	1	1	2	0	2	0	1	0	0	0	NA	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	2	1	2	2	2	1	3	1	3	1	1	2	3	1	2	3	1	4	1	2	1	1	1	1	1	2	1	2	1	1	2	4	3	0	2	2	2	0	4	2	3	0	0	0	3	3	1	4	2	2	2	4	27	54	8	15	31	4
201	5	6	6	4	0	4	3	2	0	0	0	1	1	1	0	0	3	3	0	2	0	3	0	1	0	0	2	0	0	1	3	4	4	4	3	4	3	2	0	0	0	0	0	0	0	0	0	2	4	3	5	3	4	3	2	2	3	1	3	2	3	4	2	1	2	2	3	2	2	2	2	5	4	2	2	4	3	4	4	2	2	1	2	0	2	1	2	0	1	0	0	4	2	0	2	0	0	2	5	4	3	27	14	92	19	21	52	3
202	5	6	5	4	1	2	4	3	0	0	1	1	0	0	3	2	0	0	1	2	0	1	0	1	0	0	2	0	0	0	2	3	2	3	4	3	3	2	1	1	1	1	1	1	1	1	3	3	4	1	4	3	3	2	3	3	4	4	3	3	3	2	3	4	3	2	2	5	1	4	3	1	4	3	1	3	3	4	3	5	2	1	1	0	1	2	1	0	1	3	4	3	3	0	2	1	3	2	4	4	4	33	15	99	15	22	62	2
203	6	5	3	6	3	0	0	2	1	1	2	2	2	1	2	1	2	2	1	1	2	1	0	0	0	1	1	0	0	2	2	2	2	1	3	1	1	2	0	0	0	0	0	0	0	0	1	2	2	3	4	3	3	2	4	3	3	1	3	3	2	3	4	2	4	3	3	3	3	3	3	3	4	3	2	2	3	3	3	2	1	3	2	2	2	2	2	0	0	0	4	2	0	0	2	1	2	3	2	3	3	15	19	94	18	20	56	9
204	4	5	3	5	2	0	0	0	0	0	1	1	2	0	2	0	3	0	0	1	0	2	0	0	1	0	0	0	1	1	0	3	3	3	0	0	0	1	0	0	0	1	0	1	0	2	1	2	5	1	5	1	2	1	1	1	4	1	5	1	2	5	1	1	2	1	1	4	2	2	1	4	1	4	5	2	1	4	1	1	2	1	3	0	2	2	0	0	0	4	2	4	1	0	3	0	0	3	2	5	4	15	16	75	21	24	30	4
205	5	6	6	6	3	5	2	1	0	2	2	3	1	1	2	2	3	1	2	3	4	2	0	1	0	1	3	1	0	1	4	3	2	2	2	4	3	4	0	0	2	3	0	1	1	4	4	2	5	5	5	4	4	1	5	4	5	4	5	1	2	1	1	4	4	3	2	5	2	2	4	1	5	5	4	2	2	2	5	3	3	1	2	0	2	3	1	0	1	1	4	2	1	0	3	2	2	3	4	4	4	39	20	109	23	26	60	9
206	4	6	6	6	4	0	0	1	0	0	0	0	2	2	1	2	0	1	2	3	0	1	0	0	0	0	1	1	1	1	1	3	2	2	0	3	2	3	0	1	0	1	1	2	1	0	3	2	5	4	4	2	2	2	2	4	2	5	4	1	2	3	1	1	2	1	1	3	1	3	3	2	5	2	2	3	2	4	4	1	2	4	2	0	2	2	4	0	3	2	3	0	0	0	2	3	0	4	2	4	4	25	26	85	20	21	44	4
207	0	3	3	0	1	0	0	1	0	0	0	1	2	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	1	3	1	2	1	2	1	2	1	1	1	4	2	1	1	1	1	1	2	2	1	1	1	1	2	1	3	1	2	1	2	1	1	2	1	4	2	2	0	2	1	4	0	4	0	4	3	1	0	2	0	0	4	1	3	3	9	28	48	11	10	27	3
208	3	4	4	3	5	1	2	3	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	1	0	NA	3	3	2	2	3	3	2	0	0	0	0	0	0	0	1	1	2	4	4	4	1	2	1	2	1	5	2	5	1	4	4	1	1	1	2	1	5	1	4	1	1	4	1	1	1	1	1	2	1	2	4	2	0	4	3	4	0	1	0	4	0	0	0	2	1	0	3	4	3	3	20	26	72	11	27	34	0
