SURID	NEWS	BEAUTY	MUSIC	FITNESS	RELIGION	SCIENCE	LITERARY	SPORTS	EARLY	MORNING	DAYTIME	PRIME	EVENING	LATE	COMEDY	SOAPS	GENERAL	LEGAL	MEDICAL	MOVIES	VARIETY	NEWSSHOW	KIDS	INFO	ACTION	GAME	MVIDEO	MYSTERY	SPORT	TALK	WEIGHT	THIGHS	BUTTOCKS	HIPS	STOMACH	LEGS	WAIST	TONE	EARS	LIPS	WRISTS	HANDS	FOREHEAD	NECK	CHIN	FEET	BUST	MACS1	MACS2	MACS3	MACS4	MACS5	MACS6	MACS7	MACS8	MACS9	MACS10	MACS11	MACS12	MACS13	MACS14	MACS15	MACS16	MACS17	MACS18	MACS19	MACS20	MACS21	MACS22	MACS23	MACS24	MACS25	MACS26	MACS27	MACS28	MACS29	MACS30	MACS31	MACS32	MACS33	DIET1	DIET2	DIET3	DIET4	DIET5	DIET6	DIET7	DIET8	DIET9	DIET10	DIET11	DIET12	DIET13	DIET14	DIET15	DIET16	DIET17	DIET18	ASSESS	AGE	CLASS	ANXIETY	GOODDIET	TOTMAC	APPROVE	CONTROL	RIGID	TOTTV
235	5	5	4	2	1	0	1	1	0	1	2	1	1	0	4	1	2	2	1	2	1	3	2	1	1	1	3	4	0	5	3	3	3	1	2	2	2	1	1	0	0	0	0	0	0	2	1	4	5	2	3	2	1	2	1	2	2	2	4	1	1	2	1	1	1	1	1	1	1	2	1	2	3	1	1	1	2	1	4	1	2	4	3	2	NA	3	3	2	3	2	3	1	1	0	2	1	0	2	4	3	3	21	22	60	10	15	35	5
236	2	5	4	4	0	1	0	0	0	0	2	3	2	1	2	0	0	0	1	1	1	2	1	0	1	1	7	0	0	1	4	2	2	0	4	2	4	2	0	0	0	2	0	0	1	2	1	1	8	2	8	2	2	1	1	2	5	2	2	1	4	2	2	1	1	4	2	4	0	2	4	3	4	4	1	2	1	2	5	3	2	4	1	0	1	1	1	0	1	NA	4	0	0	0	0	0	0	1	5	2	2	26	15	88	14	25	49	8
237	5	5	3	3	1	3	2	2	0	0	0	1	2	0	1	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	3	3	4	2	2	2	2	2	0	0	0	2	2	0	0	0	3	3	4	3	4	3	4	3	3	3	4	2	3	1	1	3	2	1	3	2	2	4	3	4	1	1	1	4	2	3	3	1	4	2	2	4	4	0	4	3	4	0	0	1	4	1	0	0	4	1	2	3	4	4	3	27	29	87	16	19	52	3
238	3	6	3	5	2	0	0	0	0	0	0	0	1	1	1	0	2	0	2	2	0	1	0	0	0	0	1	0	0	1	4	2	2	2	4	2	4	4	0	0	0	0	0	0	0	4	0	5	3	1	1	1	5	1	1	1	5	3	5	5	3	5	5	1	1	5	4	1	1	3	1	1	5	5	2	2	3	1	5	3	4	4	1	0	2	0	2	2	1	0	3	0	0	0	0	0	0	2	5	3	3	28	19	94	14	22	58	2
239	2	5	0	1	4	1	0	1	0	0	0	1	1	0	1	0	0	1	0	4	1	1	2	1	0	0	0	0	2	0	1	2	0	1	1	2	2	0	0	0	1	1	0	0	0	0	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	2	1	1	3	3	1	1	1	3	1	1	1	1	3	4	3	0	4	2	4	0	4	1	3	1	0	0	2	2	1	4	2	2	2	12	31	44	9	11	24	2
240	2	3	2	2	4	1	1	2	0	0	1	1	2	1	3	0	0	0	1	1	1	2	1	0	0	1	1	1	1	2	2	2	2	2	1	2	2	1	0	0	1	1	0	0	0	0	1	2	5	1	3	2	1	5	NA	1	5	1	1	1	1	2	1	1	1	1	1	3	1	1	2	1	1	4	1	3	1	1	1	1	3	4	2	0	2	0	4	0	3	2	2	1	0	0	3	2	2	3	4	2	2	17	26	57	10	15	32	5
241	2	2	2	2	3	1	1	2	0	0	0	1	1	0	2	0	0	0	0	2	0	2	1	0	0	1	1	0	1	1	1	2	2	1	2	2	2	2	0	0	0	1	1	0	1	0	1	2	5	1	3	2	3	1	2	1	3	1	2	1	1	2	1	1	1	1	1	4	1	2	4	1	1	4	1	2	5	NA	3	1	4	4	3	0	1	1	4	0	2	0	4	0	0	0	2	3	0	2	2	2	2	18	26	64	9	15	40	2
242	2	4	3	2	3	1	1	3	0	0	1	1	2	1	3	0	1	0	1	3	0	2	1	0	0	1	1	0	2	2	1	2	2	1	2	2	2	1	1	0	0	0	1	0	0	2	3	2	5	1	3	2	3	1	2	1	5	1	4	1	1	2	2	1	1	1	1	4	1	2	4	1	1	4	1	2	1	1	3	1	4	4	2	0	2	1	1	0	1	1	4	0	0	0	2	3	2	4	3	2	2	20	24	66	10	19	37	5
243	2	4	3	1	1	0	1	0	0	1	2	0	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	1	2	1	0	0	0	0	0	0	0	0	0	2	2	1	4	1	2	2	1	1	4	2	1	1	1	5	1	1	1	1	1	2	1	1	1	1	4	1	1	1	1	1	1	1	4	2	3	0	3	1	2	0	0	0	4	2	1	0	4	0	0	4	2	3	3	8	26	52	8	20	24	4
244	NA	5	4	4	5	1	0	2	0	0	1	1	1	0	2	0	1	NA	1	1	NA	1	NA	0	0	1	1	1	0	2	2	2	1	2	2	2	2	2	0	0	0	0	0	0	0	0	1	1	2	1	1	1	3	3	3	3	4	3	4	3	3	5	1	1	2	3	3	3	3	3	3	3	3	3	3	4	NA	3	1	1	2	2	3	2	3	3	2	2	2	2	2	3	1	0	2	1	2	2	2	3	3	16	20	83	19	20	44	3
245	5	5	4	4	2	1	2	5	0	0	1	2	2	0	2	1	0	2	0	1	2	0	0	0	0	2	2	1	2	1	3	2	2	2	3	1	2	3	0	0	0	0	3	0	0	0	2	2	4	3	4	2	2	2	3	3	4	2	4	2	2	2	2	2	2	4	2	4	3	2	3	4	2	4	4	3	3	4	4	4	2	3	2	0	3	2	3	0	2	0	3	0	0	0	2	1	1	2	NA	3	3	23	22	97	24	20	53	5
246	2	5	4	4	4	0	0	0	0	0	0	1	1	0	2	0	2	0	0	2	1	0	0	0	1	0	1	0	1	1	2	2	2	1	2	2	2	1	0	1	1	1	1	0	0	1	2	1	1	1	1	1	5	1	1	1	1	2	1	1	1	5	1	1	5	1	1	1	1	5	1	5	1	5	5	4	1	5	1	1	2	4	2	0	2	2	3	0	1	1	4	0	0	0	2	1	0	2	3	3	3	21	22	69	24	10	35	2
247	2	4	0	1	0	0	0	2	0	0	1	2	1	0	1	1	0	0	1	2	1	1	0	0	0	0	1	0	1	1	2	3	2	1	3	2	4	3	0	0	0	0	0	0	0	0	2	1	1	1	1	1	2	1	1	1	2	2	4	1	1	2	1	1	1	4	1	1	5	2	1	1	3	4	1	1	2	2	2	1	4	4	3	0	2	2	2	0	4	3	1	1	1	0	2	1	2	3	2	3	3	22	25	56	16	13	27	4
248	5	5	4	5	4	0	3	4	0	1	2	2	1	0	7	1	3	1	0	3	6	0	1	0	0	4	6	0	6	4	4	NA	2	2	4	3	4	2	1	3	0	3	0	4	4	4	2	3	2	2	4	4	5	5	5	5	4	5	5	3	2	1	5	4	2	5	1	2	1	4	5	2	4	2	1	2	4	1	2	4	2	2	2	0	1	2	3	2	1	0	4	3	1	3	1	1	1	2	5	2	2	42	18	106	14	20	72	6
249	1	5	5	3	1	0	0	5	1	0	1	1	1	NA	2	0	0	0	2	2	1	0	0	0	0	1	2	2	2	2	1	2	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	5	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	5	1	2	4	2	0	2	2	4	0	2	2	4	1	0	0	2	0	4	3	NA	3	2	8	25	42	6	10	26	4
250	5	4	5	5	6	0	0	3	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	3	4	4	3	3	4	3	2	0	0	0	0	2	1	2	0	2	2	4	1	5	1	5	1	1	4	1	1	4	1	3	1	1	1	2	1	1	1	1	4	1	1	2	2	1	1	1	1	2	1	3	4	2	0	2	0	3	0	3	0	3	2	1	0	3	2	0	4	4	3	2	33	27	60	8	14	38	3
251	5	3	2	3	4	5	3	2	0	0	0	1	1	0	1	0	0	0	1	2	0	2	0	2	0	0	0	0	0	0	1	1	0	0	2	1	2	1	0	2	0	0	0	0	0	2	2	1	1	1	2	1	2	2	1	1	2	1	4	1	1	2	2	1	1	1	1	2	1	1	2	1	2	4	1	3	1	1	4	1	4	3	3	0	4	4	2	0	3	4	4	2	0	0	4	0	1	4	3	4	4	14	31	53	10	14	29	2
252	2	6	6	1	5	1	0	1	0	0	1	1	2	0	4	0	2	0	2	2	0	1	1	1	0	0	2	0	0	1	4	4	4	4	4	4	4	3	1	1	1	1	2	1	3	2	3	2	3	1	5	4	3	4	3	4	4	4	5	3	4	2	2	2	3	2	2	2	2	3	4	1	2	5	4	3	2	4	3	2	1	2	1	0	2	3	2	0	2	4	4	4	1	0	2	2	2	2	6	4	4	46	18	99	21	20	58	4
253	5	1	2	3	4	2	3	3	0	0	1	2	2	1	2	0	0	3	0	2	0	1	0	1	0	1	0	2	2	1	3	3	2	4	3	3	3	2	0	0	1	2	0	2	2	0	0	2	4	1	4	1	4	2	2	4	4	1	4	1	1	3	2	1	2	1	2	3	1	2	1	1	4	2	1	2	1	1	2	1	1	2	2	0	2	2	4	0	2	1	3	2	2	0	2	0	0	2	6	4	4	30	20	68	8	22	38	6
254	5	6	5	2	0	2	4	5	0	0	1	2	1	1	1	1	1	1	1	2	1	1	0	0	1	2	2	0	2	2	3	3	3	3	3	2	3	3	1	1	1	1	3	2	3	1	2	1	4	3	2	3	5	4	2	5	3	4	5	1	2	5	2	1	4	2	4	2	2	5	3	2	3	5	4	2	4	2	4	3	2	1	2	0	1	1	4	0	4	0	2	4	3	0	1	0	1	3	6	4	4	38	20	103	22	20	61	5
255	4	5	4	1	0	4	4	1	0	0	0	0	0	1	2	0	0	2	2	2	3	1	0	1	1	0	2	1	0	0	2	3	3	3	3	2	2	2	0	0	0	0	0	1	0	0	1	1	2	4	5	1	2	3	3	2	4	2	3	2	3	3	1	1	1	2	3	3	1	2	2	1	3	2	2	5	1	2	5	3	0	4	1	0	0	3	0	3	4	4	4	1	1	0	2	1	2	3	6	4	4	22	18	80	14	21	45	1
256	2	2	1	2	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	0	NA	0	0	0	0	0	0	2	2	3	4	4	1	1	2	4	1	4	1	4	1	1	2	1	1	2	NA	1	4	2	4	1	5	1	2	1	3	1	1	1	1	2	4	2	0	4	2	4	0	4	0	0	0	0	0	4	0	0	3	2	5	4	7	27	67	16	19	32	0
257	2	3	3	3	5	1	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	2	0	0	0	0	2	1	0	2	1	2	2	3	4	1	2	1	1	1	4	1	3	1	2	2	1	1	1	3	1	4	2	2	1	2	2	2	1	2	2	1	4	1	3	3	3	0	4	1	4	0	3	1	4	1	0	0	2	0	0	4	2	4	4	11	30	63	12	19	32	1
258	0	5	4	1	4	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	3	3	3	3	4	2	3	4	0	0	0	1	0	0	1	0	1	3	4	1	3	3	5	2	4	3	3	5	4	3	2	1	2	1	2	5	4	5	3	2	1	2	4	5	1	5	3	2	5	3	1	2	1	0	4	1	4	0	4	2	4	3	1	0	2	1	0	3	6	4	4	28	25	101	19	20	62	0
259	0	6	5	6	5	0	0	4	0	0	0	2	2	0	2	2	2	0	1	3	2	1	0	1	0	1	1	0	2	2	2	3	3	2	2	3	2	0	0	0	0	0	0	0	0	1	2	1	1	3	2	3	4	3	1	1	2	2	4	1	1	5	1	1	1	1	2	1	1	2	1	4	5	2	1	2	2	1	3	4	0	1	0	0	1	2	3	0	3	3	1	1	1	0	0	2	0	0	2	4	3	20	9	69	14	19	36	4
260	0	6	6	5	0	0	0	4	0	0	0	1	2	1	1	0	1	0	1	2	0	1	0	0	1	0	1	0	0	1	2	3	3	3	3	2	1	3	0	0	0	1	0	1	0	1	2	1	1	3	4	4	2	3	1	1	2	1	5	1	1	5	1	1	1	1	2	1	1	2	1	1	2	1	1	2	3	2	4	1	0	0	0	0	3	2	3	1	3	0	4	4	3	1	4	3	0	3	2	4	4	25	20	63	10	19	34	4
261	0	6	6	2	1	0	0	5	0	1	1	2	2	0	1	1	1	0	1	3	1	1	0	0	0	0	1	0	2	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2	2	2	2	1	2	4	2	2	1	2	2	1	1	2	2	2	4	1	2	1	2	1	2	2	4	1	2	2	1	4	2	4	0	2	0	3	0	4	0	1	3	0	0	4	2	3	3	2	4	4	4	27	63	14	15	34	6
262	4	5	5	4	4	1	1	2	1	0	1	1	2	1	1	1	1	0	1	2	2	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0	3	4	3	4	3	3	4	3	3	2	2	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	4	4	3	3	4	3	3	4	3	2	0	3	2	2	0	2	3	2	1	0	0	2	3	2	3	2	3	3	7	23	104	23	19	62	6
263	1	5	5	4	0	0	0	3	0	0	2	2	2	0	4	1	3	1	2	3	4	2	0	0	2	2	4	1	2	3	1	1	1	1	4	2	4	4	0	0	0	0	0	0	0	3	4	1	1	1	1	1	1	5	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	5	1	1	1	5	1	1	1	1	1	3	1	0	1	2	1	0	1	2	2	4	1	0	2	2	0	2	3	2	2	25	14	49	11	10	28	6
264	4	5	1	5	3	3	1	1	0	0	0	1	2	1	2	0	0	0	0	3	3	0	2	1	0	0	1	1	0	1	1	2	2	1	4	3	4	4	0	1	0	0	0	2	1	2	4	1	2	1	2	1	3	4	2	2	2	2	3	1	4	1	1	1	2	1	1	3	1	2	1	1	2	2	1	2	1	1	5	1	3	3	2	0	2	2	3	0	2	0	4	0	0	0	2	1	0	3	3	3	3	31	24	60	9	13	38	4
265	4	2	4	6	5	4	6	4	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	2	1	2	4	3	2	3	4	3	4	0	0	0	0	0	1	1	0	0	2	5	1	5	4	4	2	4	1	5	1	4	2	5	5	3	4	5	1	1	5	1	2	2	1	5	4	3	1	1	1	5	4	2	4	3	0	4	4	2	0	0	0	4	1	0	0	4	1	1	3	2	2	2	27	26	99	12	29	58	0
266	2	4	5	5	1	1	2	6	0	0	0	0	0	1	1	0	0	0	0	2	0	1	0	0	0	1	0	1	1	1	1	1	2	2	2	0	1	1	0	1	0	0	1	1	0	1	2	2	1	2	1	1	2	1	1	1	3	1	5	1	1	2	1	1	1	1	1	4	1	1	1	1	2	4	4	1	1	1	2	2	1	1	1	0	1	2	3	0	1	2	2	3	2	0	1	0	0	3	2	3	2	16	14	55	14	17	24	1
267	5	4	4	3	4	3	2	4	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	2	3	4	1	1	2	1	2	3	2	2	4	2	2	1	1	2	2	2	1	4	3	1	1	1	2	5	2	1	4	3	2	3	4	4	0	3	1	2	0	3	0	1	0	0	0	2	1	0	3	2	2	2	4	25	70	21	13	36	2
268	1	1	1	1	5	0	1	2	1	1	0	2	1	0	1	0	1	0	1	2	1	1	0	1	1	2	2	1	1	1	3	2	0	3	3	1	1	1	0	0	0	0	0	0	0	0	1	3	4	3	3	3	2	3	2	4	5	4	5	3	4	3	3	4	3	4	3	4	3	2	4	3	4	2	1	2	4	1	4	5	1	4	1	0	2	1	1	0	1	1	4	1	0	0	2	1	1	2	2	3	2	15	18	107	17	24	66	5
269	1	2	2	1	2	0	0	0	0	0	1	1	0	0	2	1	1	1	1	2	0	1	0	0	0	1	1	0	0	1	3	3	2	3	3	3	3	2	0	0	0	0	0	0	NA	1	1	4	4	1	5	1	2	3	2	1	5	1	4	1	1	2	1	1	1	1	3	5	1	2	1	1	3	2	1	3	4	1	4	2	3	4	2	0	3	2	4	0	3	2	4	2	1	0	4	1	0	4	4	3	3	24	31	74	8	24	42	2
270	1	5	3	2	4	1	1	5	0	0	1	1	1	0	2	0	2	1	1	2	0	2	1	1	2	1	3	1	2	2	3	2	2	2	4	3	4	3	0	0	0	0	0	0	0	0	2	2	4	4	4	2	2	2	2	4	4	2	4	2	2	4	2	2	2	3	3	4	3	2	2	3	3	2	2	3	3	2	4	2	1	3	2	0	2	2	3	0	3	2	2	2	1	0	2	1	1	2	4	3	3	25	20	91	18	23	50	3
271	5	6	6	6	5	4	4	5	3	1	1	2	2	1	4	1	1	0	1	2	0	1	1	0	1	1	1	1	0	1	3	3	3	2	2	3	2	0	0	1	1	1	1	0	0	1	3	1	4	2	2	4	4	2	4	4	2	4	5	1	1	2	2	1	4	4	1	5	2	2	4	2	4	2	1	1	1	2	4	1	3	3	2	0	2	1	4	0	4	1	2	1	1	0	2	0	0	4	4	4	4	26	26	85	15	20	50	10
272	1	4	2	4	5	0	1	3	0	0	0	0	1	0	1	0	0	0	0	2	0	2	0	1	0	0	0	0	0	1	2	4	4	4	2	4	NA	2	0	0	0	1	0	1	0	1	1	4	4	1	5	1	4	4	2	3	3	2	5	2	5	4	1	1	1	1	1	3	2	1	3	1	4	5	1	1	3	2	5	4	3	2	4	0	4	2	4	0	3	0	4	2	0	0	4	1	4	4	5	4	4	26	32	89	14	24	51	1
273	1	5	2	2	5	4	1	2	0	0	1	0	0	0	1	0	1	0	1	2	0	1	0	0	0	0	1	0	1	0	4	4	3	2	4	NA	3	2	0	0	0	0	0	0	0	0	1	4	5	1	4	4	4	4	5	3	5	1	4	4	5	NA	2	1	4	2	2	4	1	4	3	1	4	4	1	3	3	2	4	2	2	3	1	0	2	3	4	0	2	2	3	2	1	0	3	4	1	2	4	2	2	23	22	100	11	21	68	1
274	4	6	6	5	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	3	2	1	3	4	2	4	3	0	2	0	2	1	2	2	1	2	4	5	3	5	4	2	4	2	1	4	4	4	1	2	4	4	4	3	3	1	2	2	4	4	2	2	4	2	4	2	5	2	1	2	1	1	0	3	4	3	0	1	1	4	3	2	0	2	1	2	3	4	3	3	34	20	100	22	21	57	1
275	3	6	6	4	2	1	0	3	0	1	1	2	1	1	4	0	1	0	0	3	2	0	5	1	1	1	6	2	1	2	4	3	3	2	3	1	3	2	0	1	0	1	0	0	0	1	1	1	5	3	4	1	2	3	1	4	2	5	4	1	1	4	1	1	2	5	5	4	1	1	4	1	1	2	1	2	1	4	4	1	4	4	2	0	3	1	3	0	2	1	3	2	1	0	1	0	0	3	2	3	3	25	25	82	17	19	46	6
276	4	5	4	5	5	2	2	5	0	0	1	1	0	0	2	0	0	0	1	1	0	1	1	0	0	2	0	0	0	NA	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	2	2	1	5	1	4	1	1	2	5	1	2	1	3	3	1	1	4	1	1	5	3	3	1	1	3	1	1	5	3	1	1	3	4	4	3	0	4	1	3	0	3	0	4	0	0	0	3	2	2	2	2	3	2	5	30	73	9	23	41	2
277	3	6	5	4	4	3	3	4	1	0	2	1	0	0	1	1	0	0	0	1	1	1	1	0	0	0	2	1	2	1	1	4	3	3	1	4	0	1	0	0	0	1	0	0	0	1	2	1	1	1	1	1	1	4	1	1	2	1	2	1	2	5	1	1	5	1	2	1	1	5	1	4	1	5	5	5	1	5	1	1	0	1	0	0	0	1	1	0	0	2	2	0	0	0	0	0	0	4	2	3	3	21	8	71	22	12	37	4
278	4	6	3	5	3	2	2	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	4	4	4	4	4	4	3	0	0	0	0	0	0	0	0	2	4	5	5	5	2	5	4	4	5	5	4	5	5	5	5	4	2	2	5	5	5	2	2	4	2	5	2	2	2	4	2	5	5	2	0	1	0	2	4	1	3	1	0	4	4	4	0	2	2	4	2	5	4	4	33	15	128	19	30	79	0
279	3	6	5	4	2	1	0	1	0	0	2	3	3	2	5	1	5	2	0	2	1	1	1	1	0	2	6	0	1	3	4	4	4	4	3	4	4	3	0	3	2	2	1	0	1	3	4	1	4	4	5	2	4	2	4	5	4	2	2	4	2	2	1	1	5	1	1	4	1	1	1	1	1	2	1	1	1	2	5	1	2	4	1	0	2	0	3	0	3	0	4	0	0	0	0	0	0	2	2	3	3	46	21	78	13	18	47	10
280	4	5	2	2	3	2	3	3	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	1	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	2	4	5	1	4	1	2	1	2	4	2	1	4	1	1	1	2	1	1	4	4	1	1	5	3	2	1	1	1	1	1	1	4	4	4	0	4	3	4	0	3	0	4	0	0	0	2	1	0	4	3	3	3	9	33	67	21	17	29	2
281	1	2	3	2	3	0	0	2	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	2	2	2	1	2	NA	4	4	4	2	0	0	0	0	0	0	0	0	1	2	4	1	5	3	5	4	5	3	5	5	5	1	1	5	4	2	5	2	3	4	1	2	5	1	5	2	1	NA	5	5	2	1	3	2	4	0	4	NA	2	0	1	0	4	2	1	0	4	2	4	4	3	2	2	20	28	104	16	29	59	1
282	4	6	5	5	0	2	6	1	0	0	0	2	0	0	0	0	2	0	0	1	1	0	2	1	1	1	2	0	0	1	1	2	2	1	2	1	1	3	0	2	1	3	0	0	2	0	4	3	5	5	1	4	5	3	3	3	5	5	4	3	3	1	3	1	4	2	1	5	1	4	3	5	5	4	5	3	4	3	5	3	2	3	1	0	2	1	3	0	2	0	0	2	1	0	3	2	0	4	1	2	2	25	20	114	28	21	65	2
283	2	5	4	1	3	0	0	3	0	0	1	2	2	1	7	1	0	0	2	1	2	2	0	0	1	3	1	0	0	3	2	3	2	1	3	3	2	2	0	0	0	2	0	0	0	1	3	2	4	1	5	2	2	2	2	1	3	5	4	1	4	4	4	1	2	4	2	4	3	2	5	2	2	2	2	3	2	3	4	2	2	1	1	0	4	2	4	0	4	1	4	0	0	0	2	2	2	3	4	2	2	24	25	91	18	22	51	6
284	3	3	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	1	1	1	0	0	0	3	2	1	2	3	2	3	2	0	0	3	2	0	0	2	0	3	3	1	1	5	1	4	1	1	1	1	1	1	1	1	1	3	1	5	1	1	5	1	3	3	1	1	3	1	3	1	3	5	3	0	1	2	3	4	3	2	1	0	1	2	3	1	2	1	2	1	4	1	2	2	28	16	68	11	14	43	2
285	1	5	4	1	3	0	0	2	0	0	0	1	1	0	3	0	1	0	0	NA	1	0	0	0	1	0	1	1	0	2	2	2	0	0	3	1	1	1	0	0	0	0	0	0	0	1	3	2	4	2	5	1	3	2	1	1	5	3	4	1	3	4	1	4	1	1	1	4	1	1	3	1	2	3	1	2	2	2	3	1	3	4	2	0	4	1	3	0	2	1	3	1	0	0	3	1	1	3	3	3	3	14	27	75	13	24	38	2
286	3	3	4	4	3	1	2	2	0	0	0	1	1	0	2	0	1	0	1	1	1	1	3	1	2	0	2	0	0	0	3	3	3	3	3	1	2	2	0	0	0	0	0	0	0	1	3	4	5	4	2	4	4	2	3	2	5	5	4	2	4	4	3	3	5	4	2	3	1	4	4	2	5	2	3	2	5	1	4	4	3	1	2	0	3	3	2	3	2	3	1	2	3	0	3	2	1	3	5	3	3	24	20	111	18	23	70	2
287	1	5	6	1	0	0	0	0	1	3	3	3	2	1	1	1	5	0	0	2	5	1	2	1	3	0	5	0	0	5	4	3	2	NA	4	3	0	4	0	0	0	0	0	0	0	0	2	4	1	1	3	2	3	2	1	4	2	1	5	1	2	2	5	2	4	2	1	1	1	1	3	1	2	1	1	1	3	1	1	5	2	2	1	0	1	1	3	0	1	1	1	3	1	0	2	1	0	2	3	2	2	22	15	70	7	15	48	13
288	4	6	3	3	4	1	1	3	0	0	2	1	2	0	1	1	2	0	0	3	0	0	1	1	2	0	2	2	0	1	3	1	1	1	4	2	4	0	0	0	2	3	2	0	3	0	0	4	4	3	5	1	4	5	1	3	4	5	5	1	1	4	3	1	1	3	2	4	1	2	1	1	1	4	4	3	1	1	1	1	4	4	4	0	4	2	4	0	4	0	2	0	0	0	2	3	2	4	5	2	2	26	32	85	19	23	43	5
289	2	5	6	2	4	2	2	2	0	1	1	1	0	0	4	0	1	0	0	2	1	1	0	1	2	0	5	1	0	2	4	4	4	4	4	4	4	2	2	2	2	2	2	2	2	3	2	3	4	2	4	4	3	4	4	3	4	3	4	3	2	2	3	2	3	4	2	4	2	4	3	2	3	4	3	2	3	3	3	2	3	3	1	0	1	2	2	0	3	2	2	1	1	0	2	0	0	2	6	2	2	49	19	101	19	21	61	3
290	0	4	1	3	5	1	0	0	0	0	1	0	2	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	5	1	2	1	1	1	1	2	1	1	2	1	3	1	1	1	1	3	4	3	0	4	0	3	0	4	0	4	0	0	0	3	1	1	4	2	2	2	2	32	43	8	6	29	3
291	4	5	5	4	4	1	1	3	0	0	0	1	2	NA	1	0	1	0	0	1	0	1	0	NA	NA	NA	NA	NA	NA	NA	3	3	3	3	2	3	2	2	0	0	0	0	0	0	0	0	1	4	4	4	4	2	2	2	2	1	2	2	4	2	4	4	1	5	2	2	2	4	2	2	2	4	4	4	1	2	2	2	4	2	3	4	2	0	4	2	4	0	4	0	4	1	0	0	2	1	0	3	2	2	2	22	30	90	19	22	49	3
292	4	0	1	5	6	5	1	6	0	0	0	2	1	1	2	0	0	1	0	NA	0	1	1	2	0	1	1	0	3	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	3	3	4	2	3	2	4	2	3	4	2	3	2	3	3	4	NA	4	2	1	3	3	2	3	3	3	3	3	2	2	3	3	3	4	4	2	0	4	2	3	0	4	0	4	1	0	0	2	3	1	3	5	2	2	6	30	90	21	18	51	4
293	3	0	0	0	4	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	2	4	2	0	2	1	2	0	2	0	2	1	1	0	1	0	0	3	6	4	4	2	20	41	9	7	25	1
294	2	2	3	3	2	1	2	5	1	0	1	1	1	0	1	0	2	0	2	3	1	0	0	0	0	1	2	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	1	1	1	1	1	3	1	1	1	1	1	1	4	4	1	1	5	3	1	1	1	5	1	5	1	5	1	5	1	1	1	1	3	4	3	0	3	0	4	0	3	3	2	0	0	0	2	3	NA	2	2	2	2	2	26	66	15	9	42	4
295	1	6	5	4	0	0	0	6	0	0	2	2	1	2	1	1	0	0	1	2	2	0	1	2	0	1	3	0	3	1	2	3	2	3	4	4	2	1	0	0	0	0	0	0	0	0	0	3	4	1	3	1	3	3	3	3	1	5	4	2	3	3	3	3	4	3	3	3	3	3	1	3	3	3	2	3	3	1	3	2	2	4	3	2	4	1	3	4	2	3	2	0	0	0	1	1	0	4	3	3	2	21	25	91	18	17	56	7
